Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status,Model number (product.metafields.custom.model_number),Application (product.metafields.custom.applications),Specifications (product.metafields.custom.specifications),Features (product.metafields.custom.features),Source slug (product.metafields.custom.source_slug)
"rack-protector-7x24-3ga","Rack Protector - 7 x 24 in, 3 Ga.","<p>A taller 3 ga rack protector for 7 in pallet-rack posts that need more visible lower-post protection.</p><h3>Applications</h3><p>Warehouse rack rows, forklift aisles, high-bay storage areas, distribution centres, and exposed rack uprights.</p>","Pro Steel Equipment","","Warehouse Safety","migration-2026, warehouse-safety, Rack Protection, featured","FALSE","Title","Default Title","Fits 7 in post / 24 in H","shopify","deny","manual","90","TRUE","TRUE","https://vpmetals-shopify.vercel.app/images/catalog/safety/rack-protector-7x24-3ga.webp","1","Yellow 7 by 24 inch pallet rack protector","draft","Fits 7 in post / 24 in H","Warehouse rack rows, forklift aisles, high-bay storage areas, distribution centres, and exposed rack uprights.","<ul><li><strong>Post fit:</strong> 7 in</li><li><strong>Height:</strong> 24 in</li><li><strong>Steel:</strong> 3 ga</li><li><strong>Finish:</strong> Powder coated</li><li><strong>Anchor bolt:</strong> 1/2 x 4 in, not included</li></ul>","<ul><li>Floor-mounted guard for rack upright impact zones</li><li>Heavy-duty steel construction</li><li>Powder-coated finish for warehouse and industrial environments</li><li>Designed for surface-mounted protection</li><li>Custom sizes are available on request</li></ul>","rack-protector-7x24-3ga"
"rack-protector-5x12-3ga","Rack Protector - 5 x 12 in, 3 Ga.","<p>A compact rack protector for 5 in pallet-rack uprights in tighter warehouse aisles and storage rows.</p><h3>Applications</h3><p>Warehouse rack aisles, compact storage areas, material handling zones, and lower upright protection.</p>","Pro Steel Equipment","","Warehouse Safety","migration-2026, warehouse-safety, Rack Protection","FALSE","Title","Default Title","Fits 5 in post / 12 in H","shopify","deny","manual","45","TRUE","TRUE","https://vpmetals-shopify.vercel.app/images/catalog/safety/rack-protector-5x12-3ga.webp","1","Yellow 5 by 12 inch pallet rack protector","draft","Fits 5 in post / 12 in H","Warehouse rack aisles, compact storage areas, material handling zones, and lower upright protection.","<ul><li><strong>Post fit:</strong> 5 in</li><li><strong>Height:</strong> 12 in</li><li><strong>Steel:</strong> 3 ga</li><li><strong>Finish:</strong> Powder coated</li><li><strong>Anchor bolt:</strong> 1/2 x 4 in, not included</li></ul>","<ul><li>Floor-mounted guard for rack upright impact zones</li><li>Heavy-duty steel construction</li><li>Powder-coated finish for warehouse and industrial environments</li><li>Designed for surface-mounted protection</li><li>Custom sizes are available on request</li></ul>","rack-protector-5x12-3ga"
"rack-protector-5x18-3ga","Rack Protector - 5 x 18 in, 3 Ga.","<p>A medium-height 5 in rack-post protector for warehouse rows that need stronger lower-upright protection.</p><h3>Applications</h3><p>Pallet rack protection, forklift aisles, warehouse storage, receiving areas, and distribution facilities.</p>","Pro Steel Equipment","","Warehouse Safety","migration-2026, warehouse-safety, Rack Protection","FALSE","Title","Default Title","Fits 5 in post / 18 in H","shopify","deny","manual","55","TRUE","TRUE","https://vpmetals-shopify.vercel.app/images/catalog/safety/rack-protector-5x18-3ga.webp","1","Yellow 5 by 18 inch pallet rack protector","draft","Fits 5 in post / 18 in H","Pallet rack protection, forklift aisles, warehouse storage, receiving areas, and distribution facilities.","<ul><li><strong>Post fit:</strong> 5 in</li><li><strong>Height:</strong> 18 in</li><li><strong>Steel:</strong> 3 ga</li><li><strong>Finish:</strong> Powder coated</li><li><strong>Anchor bolt:</strong> 1/2 x 4 in, not included</li></ul>","<ul><li>Floor-mounted guard for rack upright impact zones</li><li>Heavy-duty steel construction</li><li>Powder-coated finish for warehouse and industrial environments</li><li>Designed for surface-mounted protection</li><li>Custom sizes are available on request</li></ul>","rack-protector-5x18-3ga"
"rack-protector-5x24-3ga","Rack Protector - 5 x 24 in, 3 Ga.","<p>A taller 5 in post rack protector for visible, durable guarding at active rack rows and traffic lanes.</p><h3>Applications</h3><p>Distribution centres, warehouse aisles, pallet storage rows, rack ends, and forklift travel areas.</p>","Pro Steel Equipment","","Warehouse Safety","migration-2026, warehouse-safety, Rack Protection","FALSE","Title","Default Title","Fits 5 in post / 24 in H","shopify","deny","manual","70","TRUE","TRUE","https://vpmetals-shopify.vercel.app/images/catalog/safety/rack-protector-5x24-3ga.webp","1","Yellow 5 by 24 inch pallet rack protector","draft","Fits 5 in post / 24 in H","Distribution centres, warehouse aisles, pallet storage rows, rack ends, and forklift travel areas.","<ul><li><strong>Post fit:</strong> 5 in</li><li><strong>Height:</strong> 24 in</li><li><strong>Steel:</strong> 3 ga</li><li><strong>Finish:</strong> Powder coated</li><li><strong>Anchor bolt:</strong> 1/2 x 4 in, not included</li></ul>","<ul><li>Floor-mounted guard for rack upright impact zones</li><li>Heavy-duty steel construction</li><li>Powder-coated finish for warehouse and industrial environments</li><li>Designed for surface-mounted protection</li><li>Custom sizes are available on request</li></ul>","rack-protector-5x24-3ga"
"pallet-rack-guard-end-46x3x5","Pallet Rack Guard End - 46 x 3 x 5 in","<p>A heavy-duty guard end that protects rack runs and aisle ends from side impacts in warehouse traffic areas.</p><h3>Applications</h3><p>Pallet rack ends, aisle entries, forklift lanes, warehouse corners, and exposed storage-row protection.</p>","Pro Steel Equipment","","Warehouse Safety","migration-2026, warehouse-safety, Rack Protection, featured","FALSE","Title","Default Title","46 x 3 x 5 in","shopify","deny","manual","205","TRUE","TRUE","https://vpmetals-shopify.vercel.app/images/catalog/safety/pallet-rack-guard-end-46x3x5.webp","1","Yellow pallet rack guard end with low welded guard rail","draft","46 x 3 x 5 in","Pallet rack ends, aisle entries, forklift lanes, warehouse corners, and exposed storage-row protection.","<ul><li><strong>Fits post size:</strong> 4.5 in</li><li><strong>Dimensions:</strong> 46 L x 3 W x 5 H in</li><li><strong>Corner height:</strong> 8 in</li><li><strong>Steel:</strong> 3/8 in all-welded steel</li><li><strong>Anchor bolts:</strong> Included</li></ul>","<ul><li>Available for right-side or left-side placement</li><li>Extra heavy-duty welded steel construction</li><li>Heavy-duty steel construction</li><li>Powder-coated finish for warehouse and industrial environments</li><li>Designed for surface-mounted protection</li><li>Custom sizes are available on request</li></ul>","pallet-rack-guard-end-46x3x5"
"upright-protector-7x7x18","Upright Protector - 7 x 7 x 18 in","<p>A welded upright protector that guards rack posts, columns, and equipment corners against low-level industrial impact.</p><h3>Applications</h3><p>Rack uprights, warehouse columns, aisle ends, compact storage areas, and lower-post protection zones.</p>","Pro Steel Equipment","","Warehouse Safety","migration-2026, warehouse-safety, Rack Protection","FALSE","Title","Default Title","7 W x 7 D x 18 H in","shopify","deny","manual","55","TRUE","TRUE","https://vpmetals-shopify.vercel.app/images/catalog/safety/upright-protector-7x7x18.webp","1","Yellow 7 by 7 by 18 inch upright protector","draft","7 W x 7 D x 18 H in","Rack uprights, warehouse columns, aisle ends, compact storage areas, and lower-post protection zones.","<ul><li><strong>Width:</strong> 7 in</li><li><strong>Depth:</strong> 7 in</li><li><strong>Height:</strong> 18 in</li><li><strong>Steel:</strong> 3/8 in all-welded steel</li><li><strong>Anchor bolt:</strong> 1/2 x 4 in, not included</li></ul>","<ul><li>Compact wraparound post protection</li><li>Heavy-duty steel construction</li><li>Powder-coated finish for warehouse and industrial environments</li><li>Designed for surface-mounted protection</li><li>Custom sizes are available on request</li></ul>","upright-protector-7x7x18"
"upright-protector-7x7x12","Upright Protector - 7 x 7 x 12 in","<p>A compact upright protector for lower rack posts and exposed support points in busy material-handling areas.</p><h3>Applications</h3><p>Pallet rack posts, compact rack rows, warehouse columns, equipment corners, and low-level impact protection.</p>","Pro Steel Equipment","","Warehouse Safety","migration-2026, warehouse-safety, Rack Protection","FALSE","Title","Default Title","7 W x 7 D x 12 H in","shopify","deny","manual","45","TRUE","TRUE","https://vpmetals-shopify.vercel.app/images/catalog/safety/upright-protector-7x7x12.webp","1","Yellow 7 by 7 by 12 inch upright protector","draft","7 W x 7 D x 12 H in","Pallet rack posts, compact rack rows, warehouse columns, equipment corners, and low-level impact protection.","<ul><li><strong>Width:</strong> 7 in</li><li><strong>Depth:</strong> 7 in</li><li><strong>Height:</strong> 12 in</li><li><strong>Steel:</strong> 3/8 in all-welded steel</li><li><strong>Anchor bolt:</strong> 1/2 x 4 in, not included</li></ul>","<ul><li>Compact wraparound post protection</li><li>Heavy-duty steel construction</li><li>Powder-coated finish for warehouse and industrial environments</li><li>Designed for surface-mounted protection</li><li>Custom sizes are available on request</li></ul>","upright-protector-7x7x12"
"floor-angle-guard-warehouse-24x5x3","Floor Angle Guard - Warehouse 24 in","<p>A short floor angle guard for protecting vulnerable wall bases, edges, and floor-level equipment from impact.</p><h3>Applications</h3><p>Warehouse wall bases, machinery edges, dock areas, pedestrian boundaries, and compact floor-protection runs.</p>","Pro Steel Equipment","","Warehouse Safety","migration-2026, warehouse-safety, Floor Guards","FALSE","Title","Default Title","24 L x 5 H x 3 W in","shopify","deny","manual","100","TRUE","TRUE","https://vpmetals-shopify.vercel.app/images/catalog/safety/floor-angle-guard-warehouse-24x5x3.webp","1","Yellow 24 inch warehouse floor angle guard","draft","24 L x 5 H x 3 W in","Warehouse wall bases, machinery edges, dock areas, pedestrian boundaries, and compact floor-protection runs.","<ul><li><strong>Length:</strong> 24 in</li><li><strong>Height:</strong> 5 in</li><li><strong>Width:</strong> 3 in</li><li><strong>Steel:</strong> 3/8 in</li><li><strong>Anchor bolts:</strong> Included</li></ul>","<ul><li>Permanent installation for floor-level protection</li><li>Heavy-duty steel construction</li><li>Powder-coated finish for warehouse and industrial environments</li><li>Designed for surface-mounted protection</li><li>Custom sizes are available on request</li></ul>","floor-angle-guard-warehouse-24x5x3"
"floor-angle-guard-warehouse-48x5x3","Floor Angle Guard - Warehouse 48 in","<p>A 48 in floor guard for protecting wall runs, equipment bases, and lower warehouse edges from facility traffic.</p><h3>Applications</h3><p>Warehouse perimeters, production walls, dock lanes, floor-level machine protection, and aisle boundary marking.</p>","Pro Steel Equipment","","Warehouse Safety","migration-2026, warehouse-safety, Floor Guards","FALSE","Title","Default Title","48 L x 5 H x 3 W in","shopify","deny","manual","140","TRUE","TRUE","https://vpmetals-shopify.vercel.app/images/catalog/safety/floor-angle-guard-warehouse-48x5x3.webp","1","Yellow 48 inch warehouse floor angle guard","draft","48 L x 5 H x 3 W in","Warehouse perimeters, production walls, dock lanes, floor-level machine protection, and aisle boundary marking.","<ul><li><strong>Length:</strong> 48 in</li><li><strong>Height:</strong> 5 in</li><li><strong>Width:</strong> 3 in</li><li><strong>Steel:</strong> 3/8 in</li><li><strong>Anchor bolts:</strong> Included</li></ul>","<ul><li>Permanent installation for floor-level protection</li><li>Heavy-duty steel construction</li><li>Powder-coated finish for warehouse and industrial environments</li><li>Designed for surface-mounted protection</li><li>Custom sizes are available on request</li></ul>","floor-angle-guard-warehouse-48x5x3"
"floor-angle-guard-warehouse-60x5x3","Floor Angle Guard - Warehouse 60 in","<p>A medium-length warehouse floor guard for building continuous low-level protection around high-use areas.</p><h3>Applications</h3><p>Production areas, rack rows, wall bases, storage perimeters, and traffic-facing facility edges.</p>","Pro Steel Equipment","","Warehouse Safety","migration-2026, warehouse-safety, Floor Guards","FALSE","Title","Default Title","60 L x 5 H x 3 W in","shopify","deny","manual","190","TRUE","TRUE","https://vpmetals-shopify.vercel.app/images/catalog/safety/floor-angle-guard-warehouse-60x5x3.webp","1","Yellow 60 inch warehouse floor angle guard","draft","60 L x 5 H x 3 W in","Production areas, rack rows, wall bases, storage perimeters, and traffic-facing facility edges.","<ul><li><strong>Length:</strong> 60 in</li><li><strong>Height:</strong> 5 in</li><li><strong>Width:</strong> 3 in</li><li><strong>Steel:</strong> 3/8 in</li><li><strong>Anchor bolts:</strong> Included</li></ul>","<ul><li>Permanent installation for floor-level protection</li><li>Heavy-duty steel construction</li><li>Powder-coated finish for warehouse and industrial environments</li><li>Designed for surface-mounted protection</li><li>Custom sizes are available on request</li></ul>","floor-angle-guard-warehouse-60x5x3"
"floor-angle-guard-warehouse-96x5x3","Floor Angle Guard - Warehouse 96 in","<p>A long 96 in floor angle guard for protecting extended warehouse edges, walls, and traffic-facing equipment bases.</p><h3>Applications</h3><p>Warehouse walls, dock approaches, equipment lines, storage-zone boundaries, and long floor-protection runs.</p>","Pro Steel Equipment","","Warehouse Safety","migration-2026, warehouse-safety, Floor Guards","FALSE","Title","Default Title","96 L x 5 H x 3 W in","shopify","deny","manual","300","TRUE","TRUE","https://vpmetals-shopify.vercel.app/images/catalog/safety/floor-angle-guard-warehouse-96x5x3.webp","1","Yellow 96 inch warehouse floor angle guard","draft","96 L x 5 H x 3 W in","Warehouse walls, dock approaches, equipment lines, storage-zone boundaries, and long floor-protection runs.","<ul><li><strong>Length:</strong> 96 in</li><li><strong>Height:</strong> 5 in</li><li><strong>Width:</strong> 3 in</li><li><strong>Steel:</strong> 3/8 in</li><li><strong>Anchor bolts:</strong> Included</li></ul>","<ul><li>Permanent installation for floor-level protection</li><li>Heavy-duty steel construction</li><li>Powder-coated finish for warehouse and industrial environments</li><li>Designed for surface-mounted protection</li><li>Custom sizes are available on request</li></ul>","floor-angle-guard-warehouse-96x5x3"
"floor-angle-guard-warehouse-120x5x3","Floor Angle Guard - Warehouse 120 in","<p>A 120 in floor angle guard for creating extended, durable protection along high-traffic warehouse walls and equipment runs.</p><h3>Applications</h3><p>Long warehouse perimeters, loading areas, production boundaries, rack-line edges, and high-traffic facility layouts.</p>","Pro Steel Equipment","","Warehouse Safety","migration-2026, warehouse-safety, Floor Guards, featured","FALSE","Title","Default Title","120 L x 5 H x 3 W in","shopify","deny","manual","360","TRUE","TRUE","https://vpmetals-shopify.vercel.app/images/catalog/safety/floor-angle-guard-warehouse-120x5x3.webp","1","Yellow 120 inch warehouse floor angle guard","draft","120 L x 5 H x 3 W in","Long warehouse perimeters, loading areas, production boundaries, rack-line edges, and high-traffic facility layouts.","<ul><li><strong>Length:</strong> 120 in</li><li><strong>Height:</strong> 5 in</li><li><strong>Width:</strong> 3 in</li><li><strong>Steel:</strong> 3/8 in</li><li><strong>Anchor bolts:</strong> Included</li></ul>","<ul><li>Permanent installation for floor-level protection</li><li>Heavy-duty steel construction</li><li>Powder-coated finish for warehouse and industrial environments</li><li>Designed for surface-mounted protection</li><li>Custom sizes are available on request</li></ul>","floor-angle-guard-warehouse-120x5x3"
"anti-theft-parking-bollard-collapsible","Anti-Theft Parking Bollard - Collapsible","<p>A hinged collapsible bollard for reserving parking spaces, controlling access, and adding removable vehicle deterrence.</p><h3>Applications</h3><p>Parking spaces, commercial lots, loading areas, restricted-access lanes, private driveways, and vehicle-control points.</p>","Pro Steel Equipment","","Warehouse Safety","migration-2026, warehouse-safety, Parking Bollards, featured","FALSE","Title","Default Title","Collapsible parking bollard","shopify","deny","manual","306","TRUE","TRUE","https://vpmetals-shopify.vercel.app/images/catalog/safety/anti-theft-parking-bollard-collapsible.webp","1","Yellow collapsible anti-theft parking bollard with base plate","draft","Collapsible parking bollard","Parking spaces, commercial lots, loading areas, restricted-access lanes, private driveways, and vehicle-control points.","<ul><li><strong>Outer diameter:</strong> 5 in</li><li><strong>Height:</strong> 36 in upright / 3.5 in folded</li><li><strong>Base:</strong> 10.5 x 8 x 3.5 in</li><li><strong>Base plate:</strong> 0.55 in</li><li><strong>Anchor bolt:</strong> 1/2 x 4 in, not included</li></ul>","<ul><li>Two-direction hinged bollard folds at 90 degrees</li><li>Surface-mount installation without core drilling or excavation</li><li>Low folded profile for vehicle clearance</li><li>Heavy-duty steel construction</li><li>Powder-coated finish for warehouse and industrial environments</li><li>Designed for surface-mounted protection</li><li>Custom sizes are available on request</li></ul>","anti-theft-parking-bollard-collapsible"
